,cov,sleep
1087,1.0,0.06
1088,1.0,0.04
1089,0.9996999502182007,0.07
1090,1.0,0.04
1091,0.9977995753288269,0.02
1092,0.9998999834060669,0.07
1093,1.0,0.05
1094,1.0,0.04
1095,1.0,0.07
1096,0.9990997910499573,0.05
1097,0.9998999834060669,0.05
1098,1.0,0.05
1099,1.0,0.02
1100,1.0,0.07
1101,1.0,0.07
1102,1.0,0.04
1103,1.0,0.06
1104,1.0,0.05
1105,1.0,0.03
1106,1.0,0.05
1107,1.0,0.06
1108,1.0,0.07
1109,1.0,0.06
1110,1.0,0.04
1111,1.0,0.05
1112,1.0,0.04
1113,1.0,0.07
1114,1.0,0.03
1115,1.0,0.04
1116,1.0,0.06
1117,1.0,0.06
1118,1.0,0.06
1119,1.0,0.04
1120,1.0,0.04
1121,1.0,0.06
1122,1.0,0.05
1123,1.0,0.06
1124,1.0,0.05
1125,1.0,0.07
1126,1.0,0.05
1127,0.9998999834060669,0.07
1128,1.0,0.06
1129,1.0,0.05
1130,1.0,0.06
1131,1.0,0.09
1132,1.0,0.05
1133,1.0,0.05
1134,1.0,0.06
1135,1.0,0.07
1136,1.0,0.05
1137,1.0,0.03
1138,1.0,0.08
1139,0.9996999502182007,0.06
1140,1.0,0.05
1141,1.0,0.05
1142,0.9977995753288269,0.04
1143,0.9996999502182007,0.06
1144,1.0,0.05
1145,0.9990997910499573,0.05
1146,1.0,0.04
1147,1.0,0.07
1148,1.0,0.08
1149,1.0,0.03
1150,1.0,0.05
1151,1.0,0.04
1152,1.0,0.09
1153,0.9998999834060669,0.08
1154,1.0,0.06
1155,1.0,0.03
1156,1.0,0.05
1157,1.0,0.03
1158,0.9989997744560242,0.09
1159,1.0,0.06
1160,1.0,0.04
1161,1.0,0.08
1162,1.0,0.03
1163,1.0,0.07
1164,1.0,0.07
1165,1.0,0.02
1166,1.0,0.07
1167,1.0,0.09
1168,1.0,0.05
1169,1.0,0.07
1170,1.0,0.06
1171,1.0,0.02
1172,1.0,0.07
1173,1.0,0.03
1174,1.0,0.08
1175,1.0,0.07
1176,0.9990997910499573,0.05
1177,1.0,0.04
1178,1.0,0.04
1179,1.0,0.04
1180,0.9998999834060669,0.06
1181,1.0,0.07
1182,1.0,0.07
1183,1.0,0.07
1184,1.0,0.07
1185,1.0,0.05
1186,0.9996999502182007,0.05
1187,1.0,0.08
1188,0.9998999834060669,0.05
1189,1.0,0.07
1190,0.9996999502182007,0.07
1191,1.0,0.06
1192,1.0,0.05
1193,1.0,0.09
1194,0.9977995753288269,0.08
1195,1.0,0.06
1196,1.0,0.05
1197,0.9998999834060669,0.08
1198,1.0,0.04
1199,1.0,0.04
1200,1.0,0.04
1201,1.0,0.03
1202,0.9990997910499573,0.05
1203,1.0,0.05
1204,1.0,0.03
1205,0.9998999834060669,0.09
1206,1.0,0.02
1207,1.0,0.04
1208,1.0,0.05
1209,1.0,0.07
1210,1.0,0.04
1211,1.0,0.03
1212,1.0,0.08
1213,1.0,0.08
1214,0.9977995753288269,0.08
1215,0.9996999502182007,0.08
1216,1.0,0.06
1217,1.0,0.04
1218,0.9977995753288269,0.05
1219,0.9998999834060669,0.08
1220,1.0,0.06
1221,1.0,0.05
1222,1.0,0.07
1223,0.9998999834060669,0.06
1224,0.9989997744560242,0.07
1225,1.0,0.07
1226,1.0,0.06
1227,1.0,0.04
1228,1.0,0.08
1229,1.0,0.05
1230,0.9998999834060669,0.06
1231,1.0,0.08
1232,0.9998999834060669,0.06
1233,1.0,0.07
1234,1.0,0.06
1235,1.0,0.05
1236,0.9998999834060669,0.05
1237,1.0,0.04
1238,0.9977995753288269,0.05
1239,1.0,0.05
1240,1.0,0.05
1241,1.0,0.04
1242,1.0,0.06
1243,1.0,0.06
1244,1.0,0.05
1245,1.0,0.04
1246,0.9990997910499573,0.05
1247,1.0,0.04
1248,1.0,0.09
1249,1.0,0.05
1250,1.0,0.06
1251,1.0,0.02
1252,1.0,0.09
1253,1.0,0.05
1254,1.0,0.06
1255,1.0,0.05
1256,1.0,0.05
1257,1.0,0.1
